mac_address	vlan_id	count_rec	vendor_name
70:4F:57:9D:9A:4D	999	574	Tp-link Technologies Co.,ltd.
90:F6:52:DC:17:A8	999	554	Tp-link Technologies Co.,ltd.
AC:84:C6:39:15:70	999	550	Tp-link Technologies Co.,ltd.
AC:84:C6:39:15:FD	999	549	Tp-link Technologies Co.,ltd.
AC:84:C6:39:08:4D	999	549	Tp-link Technologies Co.,ltd.
AC:84:C6:39:04:3F	999	548	Tp-link Technologies Co.,ltd.
AC:84:C6:39:17:2C	999	543	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D3:24	999	515	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:FC	999	506	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:B6	999	503	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:3C:94	999	502	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:B8	999	500	Tp-link Technologies Co.,ltd.
90:F6:52:F5:CC:A4	999	498	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:36:BE	999	494	Tp-link Technologies Co.,ltd.
90:F6:52:DC:17:08	999	482	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:CE	999	480	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:D0	999	454	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:A6	999	452	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D6:F2	999	450	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:5C	999	446	Tp-link Technologies Co.,ltd.
90:F6:52:DC:2E:30	999	440	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:BE	999	439	Tp-link Technologies Co.,ltd.
90:F6:52:DC:15:4A	999	437	Tp-link Technologies Co.,ltd.
90:F6:52:DC:3B:16	999	436	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:0E	999	422	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:7A	999	421	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:EC	999	416	Tp-link Technologies Co.,ltd.
90:F6:52:6E:DD:39	999	399	Tp-link Technologies Co.,ltd.
90:F6:52:6E:DD:2B	999	398	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:3D:14	999	388	Tp-link Technologies Co.,ltd.
90:F6:52:DC:2E:88	999	384	Tp-link Technologies Co.,ltd.
7C:8B:CA:15:3D:D7	999	383	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:3D:A2	999	381	Tp-link Technologies Co.,ltd.
40:3F:8C:0D:0A:6F	999	376	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6A:56	999	359	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:DC	999	359	Tp-link Technologies Co.,ltd.
50:3E:AA:69:D0:83	999	352	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D0:DA	999	350	Tp-link Technologies Co.,ltd.
90:F6:52:DC:17:B0	999	348	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:DA	999	344	Tp-link Technologies Co.,ltd.
90:F6:52:DC:2C:66	999	344	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:57:E2	999	342	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:37:08	999	338	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6A:B6	999	335	Tp-link Technologies Co.,ltd.
10:FE:ED:3F:73:14	999	331	Tp-link Technologies Co.,ltd.
90:F6:52:F5:91:6E	999	330	Tp-link Technologies Co.,ltd.
90:F6:52:F5:BF:88	999	329	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:D8	999	328	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:60	999	325	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D5:A0	999	324	Tp-link Technologies Co.,ltd.
90:F6:52:DC:17:96	999	319	Tp-link Technologies Co.,ltd.
C0:25:E9:13:52:3F	999	317	Tp-link Technologies Co.,ltd.
90:F6:52:F5:CF:42	999	316	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6A:1A	999	308	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:82	999	296	Tp-link Technologies Co.,ltd.
E8:DE:27:0F:F9:A8	999	296	Tp-link Technologies Co.,ltd.
90:F6:52:DC:15:32	999	288	Tp-link Technologies Co.,ltd.
90:F6:52:DC:16:F2	999	279	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:12	999	277	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:1C	999	269	Tp-link Technologies Co.,ltd.
50:3E:AA:9B:05:BD	999	266	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D1:F8	999	263	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D6:DE	999	263	Tp-link Technologies Co.,ltd.
C0:4A:00:A4:6B:FC	999	261	Tp-link Technologies Co.,ltd.
18:A6:F7:1F:DD:1E	999	251	Tp-link Technologies Co.,ltd.
D4:6E:0E:9F:7D:4E	999	249	Tp-link Technologies Co.,ltd.
50:3E:AA:7A:52:59	999	245	Tp-link Technologies Co.,ltd.
50:3E:AA:3A:86:91	999	239	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:FA	999	223	Tp-link Technologies Co.,ltd.
7C:8B:CA:2D:52:00	999	197	Tp-link Technologies Co.,ltd.
C4:6E:1F:1A:DF:6A	999	195	Tp-link Technologies Co.,ltd.
F4:F2:6D:0F:19:9C	999	194	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:1A	999	190	Tp-link Technologies Co.,ltd.
14:CC:20:1F:44:82	999	186	Tp-link Technologies Co.,ltd.
50:3E:AA:6C:E1:25	999	164	Tp-link Technologies Co.,ltd.
C4:6E:1F:1F:B8:AE	999	160	Tp-link Technologies Co.,ltd.
A0:F3:C1:D4:37:28	999	158	Tp-link Technologies Co.,ltd.
50:3E:AA:AD:BC:49	999	156	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D6:26	999	150	Tp-link Technologies Co.,ltd.
7C:8B:CA:6C:D1:5C	999	124	Tp-link Technologies Co.,ltd.
70:4F:57:9D:9A:3E	999	110	Tp-link Technologies Co.,ltd.
C0:25:E9:26:E1:01	999	109	Tp-link Technologies Co.,ltd.
90:F6:52:DC:2D:F4	999	100	Tp-link Technologies Co.,ltd.
90:F6:52:DC:2E:70	999	97	Tp-link Technologies Co.,ltd.
50:3E:AA:41:22:29	999	92	Tp-link Technologies Co.,ltd.
7C:8B:CA:15:2F:9C	999	91	Tp-link Technologies Co.,ltd.
7C:8B:CA:0F:1F:AC	999	85	Tp-link Technologies Co.,ltd.
C0:25:E9:13:07:57	999	77	Tp-link Technologies Co.,ltd.
B0:4E:26:3F:A3:CB	999	74	Tp-link Technologies Co.,ltd.
D4:6E:0E:02:AF:ED	999	64	Tp-link Technologies Co.,ltd.
7C:8B:CA:09:69:76	999	59	Tp-link Technologies Co.,ltd.
64:66:B3:0B:4D:02	999	57	Tp-link Technologies Co.,ltd.
A0:F3:C1:46:18:6D	999	57	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D7:12	999	57	Tp-link Technologies Co.,ltd.
50:3E:AA:7A:A2:87	999	48	Tp-link Technologies Co.,ltd.
B0:4E:26:24:AA:44	999	47	Tp-link Technologies Co.,ltd.
50:3E:AA:26:8B:F0	999	45	Tp-link Technologies Co.,ltd.
50:3E:AA:7A:BE:72	999	45	Tp-link Technologies Co.,ltd.
64:66:B3:FA:CD:A0	999	44	Tp-link Technologies Co.,ltd.
C0:25:E9:CC:FB:7B	999	43	Tp-link Technologies Co.,ltd.
10:FE:ED:21:09:F3	999	41	Tp-link Technologies Co.,ltd.
70:4F:57:9D:9A:1A	999	41	Tp-link Technologies Co.,ltd.
00:0A:EB:4A:6E:89	999	40	Tp-link Technologies Co.,ltd.
18:A6:F7:1D:A8:E6	999	40	Tp-link Technologies Co.,ltd.
50:3E:AA:68:2D:68	999	35	Tp-link Technologies Co.,ltd.
AC:84:C6:39:17:CE	999	34	Tp-link Technologies Co.,ltd.
AC:84:C6:39:17:CE	999	33	Tp-link Technologies Co.,ltd.
C0:25:E9:23:80:A8	999	32	Tp-link Technologies Co.,ltd.
C4:6E:1F:24:6B:7F	999	32	Tp-link Technologies Co.,ltd.
C4:6E:1F:23:34:56	999	30	Tp-link Technologies Co.,ltd.
50:3E:AA:B2:D0:CA	999	27	Tp-link Technologies Co.,ltd.
50:3E:AA:B9:BA:FD	999	27	Tp-link Technologies Co.,ltd.
40:3F:8C:0D:0D:82	999	25	Tp-link Technologies Co.,ltd.
C4:E9:84:18:49:6D	999	24	Tp-link Technologies Co.,ltd.
E8:DE:27:19:E3:3C	999	24	Tp-link Technologies Co.,ltd.
7C:8B:CA:0E:CB:B5	999	22	Tp-link Technologies Co.,ltd.
F4:EC:38:90:49:DA	999	22	Tp-link Technologies Co.,ltd.
64:66:B3:CE:2D:35	999	21	Tp-link Technologies Co.,ltd.
60:E3:27:1A:CA:D9	999	20	Tp-link Technologies Co.,ltd.
AC:84:C6:39:15:9D	999	19	Tp-link Technologies Co.,ltd.
40:3F:8C:00:8A:23	999	17	Tp-link Technologies Co.,ltd.
C4:E9:84:18:5B:8D	999	17	Tp-link Technologies Co.,ltd.
C4:E9:84:18:49:6D	999	16	Tp-link Technologies Co.,ltd.
50:3E:AA:E6:CE:C8	999	16	Tp-link Technologies Co.,ltd.
D4:6E:0E:02:77:E2	999	15	Tp-link Technologies Co.,ltd.
84:16:F9:1B:10:81	999	15	Tp-link Technologies Co.,ltd.
50:3E:AA:E7:37:0C	999	15	Tp-link Technologies Co.,ltd.
C4:6E:1F:10:E6:19	999	15	Tp-link Technologies Co.,ltd.
50:3E:AA:AF:FA:CD	999	14	Tp-link Technologies Co.,ltd.
